Dates, Index
Nov-02-2020,11788.28
Nov-03-2020,12088.98
Nov-04-2020,12324.22
Nov-05-2020,12568.09
Nov-06-2020,12480.02
Nov-09-2020,13095.97
Nov-10-2020,13163.11
Nov-11-2020,13216.18
Nov-12-2020,13052.95
Nov-13-2020,13076.72
Nov-16-2020,13138.61
Nov-17-2020,13133.47
Nov-18-2020,13201.89
Nov-19-2020,13086.16
Nov-20-2020,13137.25
Nov-23-2020,13126.97
Nov-24-2020,13292.44
Nov-25-2020,13289.8
Nov-26-2020,13286.57
Nov-27-2020,13335.68
Nov-30-2020,13291.16
Dec-01-2020,13401.9
